[st-pre] total 770 already approved 201
[st-pre] kept staged 25 st0535
[st-pre] kept staged 50 st0510
[st-pre] kept staged 75 st485
[st-pre] kept staged 100 st0461
[st-pre] kept staged 125 st0435
[st-pre] kept staged 150 st410
[st-pre] kept staged 175 st385
[st-pre] kept staged 200 st360
[st-pre] kept staged 225 st333
[st-pre] kept staged 250 st306
[st-pre] kept staged 275 st280
[st-pre] kept staged 300 st260
[st-pre] kept staged 325 st235
[st-pre] kept staged 350 st159
[st-pre] kept from stage/bank 358 · approved now 559
[st-pre] st0742 … ok photo 33914261 · approved 605/770
[st-pre] st0741 … ok photo 9490248 · approved 606/770
[st-pre] st0740 … ok photo 8199174 · approved 607/770
[st-pre] st0739 … ok photo 29861708 · approved 608/770
[st-pre] st0738 … ok photo 36628879 · approved 609/770
[st-pre] st0737 … ok photo 36628880 · approved 610/770
[st-pre] st0734 … ok photo 16926382 · approved 611/770
[st-pre] st0733 … ok photo 12742567 · approved 612/770
[st-pre] st0732 … ok photo 17050931 · approved 613/770
[st-pre] st0730 … ok photo 29038452 · approved 614/770
[st-pre] st0729 … ok photo 11644798 · approved 615/770
[st-pre] st0728 … ok photo 4167169 · approved 616/770
[st-pre] st0727 … ok photo 8199621 · approved 617/770
[st-pre] st0726 … ok photo 37493121 · approved 618/770
[st-pre] st0725 … ok photo 8867475 · approved 619/770
[st-pre] st0722 … ok photo 37935974 · approved 620/770
[st-pre] st0719 … ok photo 9951399 · approved 621/770
[st-pre] st0718 … ok photo 20296280 · approved 622/770
[st-pre] st0717 … ok photo 33939170 · approved 623/770
[st-pre] st0716 … ok photo 13045981 · approved 624/770
[st-pre] st0715 … ok photo 7072051 · approved 625/770
[st-pre] st0714 … ok photo 22696774 · approved 626/770
[st-pre] st0713 … ok photo 9951386 · approved 627/770
[st-pre] st0712 … ok photo 8199622 · approved 628/770
[st-pre] st0710 … ok photo 9313037 · approved 629/770
[st-pre] st0707 … ok photo 18016848 · approved 630/770
[st-pre] st0706 … ok photo 20860586 · approved 631/770
[st-pre] st0705 … ok photo 15429294 · approved 632/770
[st-pre] st0704 … ok photo 8199679 · approved 633/770
[st-pre] st0703 … ok photo 17723969 · approved 634/770
[st-pre] st0702 … ok photo 6602623 · approved 635/770
[st-pre] st0700 … ok photo 18016851 · approved 636/770
[st-pre] st0699 … ok photo 936082 · approved 637/770
[st-pre] st0698 … ok photo 16005640 · approved 638/770
[st-pre] st0697 … ok photo 13444514 · approved 639/770
[st-pre] st0696 … ok photo 11750182 · approved 640/770
[st-pre] st0695 … ok photo 6816369 · approved 641/770
[st-pre] st0694 … ok photo 7695399 · approved 642/770
[st-pre] st0693 … ok photo 259239 · approved 643/770
[st-pre] st0692 … ok photo 8436580 · approved 644/770
[st-pre] st0691 … ok photo 32995977 · approved 645/770
[st-pre] st0690 … ok photo 30706445 · approved 646/770
[st-pre] st0688 … ok photo 8586345 · approved 647/770
[st-pre] st0687 … ok photo 4140908 · approved 648/770
[st-pre] st0686 … ok photo 35792936 · approved 649/770
[st-pre] st0685 … ok photo 8199613 · approved 650/770
[st-pre] st0684 … ok photo 34741671 · approved 651/770
[st-pre] st0683 … ok photo 38399020 · approved 652/770
[st-pre] st0682 … ok photo 14084829 · approved 653/770
[st-pre] st0681 … ok photo 13140172 · approved 654/770
[st-pre] st0680 … ok photo 8199629 · approved 655/770
[st-pre] st0679 … ok photo 37547619 · approved 656/770
[st-pre] st0677 … ok photo 36740211 · approved 657/770
[st-pre] st0676 … ok photo 31470217 · approved 658/770
[st-pre] st0674 … ok photo 9951391 · approved 659/770
[st-pre] st0673 … ok photo 19966326 · approved 660/770
[st-pre] st0672 … ok photo 6091046 · approved 661/770
[st-pre] st0671 … ok photo 11750185 · approved 662/770
[st-pre] st0670 … ok photo 9951392 · approved 663/770
[st-pre] st0669 … ok photo 12767729 · approved 664/770
[st-pre] st0668 … ok photo 38399014 · approved 665/770
[st-pre] st0667 … ok photo 9951403 · approved 666/770
[st-pre] st0666 … ok photo 30486882 · approved 667/770
[st-pre] st0665 … ok photo 13092143 · approved 668/770
[st-pre] st0664 … ok photo 29442189 · approved 669/770
[st-pre] st0662 … ok photo 2564460 · approved 670/770
[st-pre] st0661 … ok photo 13055827 · approved 671/770
[st-pre] st0660 … ok photo 9489923 · approved 672/770
[st-pre] st0659 … ok photo 38240988 · approved 673/770
[st-pre] st0658 … ok photo 30486981 · approved 674/770
[st-pre] st0657 … ok photo 7640818 · approved 675/770
[st-pre] st0656 … ok photo 14200837 · approved 676/770
[st-pre] st0655 … ok photo 11750193 · approved 677/770
[st-pre] st0654 … ok photo 8436147 · approved 678/770
[st-pre] st0653 … ok photo 7640831 · approved 679/770
[st-pre] st0651 … ok photo 2951696 · approved 680/770
[st-pre] st0649 … ok photo 2317542 · approved 681/770
[st-pre] st0648 … ok photo 8617708 · approved 682/770
[st-pre] st0647 … ok photo 207732 · approved 683/770
[st-pre] st0646 … ok photo 12543935 · approved 684/770
[st-pre] st0645 … ok photo 10863556 · approved 685/770
[st-pre] st0644 … ok photo 3981364 · approved 686/770
[st-pre] st0643 … ok photo 12496002 · approved 687/770
[st-pre] st0642 … ok photo 9071508 · approved 688/770
[st-pre] st0641 … ok photo 9490219 · approved 689/770
[st-pre] st0640 … ok photo 28835746 · approved 690/770
[st-pre] st0639 … ok photo 12510285 · approved 691/770
[st-pre] st0638 … ok photo 9112798 · approved 692/770
[st-pre] st0637 … ok photo 11112740 · approved 693/770
[st-pre] st0636 … ok photo 2167437 · approved 694/770
[st-pre] st0635 … ok photo 27358717 · approved 695/770
[st-pre] st0634 … ok photo 29320945 · approved 696/770
[st-pre] st0633 … ok photo 36803598 · approved 697/770
[st-pre] st0632 … ok photo 14762173 · approved 698/770
[st-pre] st0631 … ok photo 35133204 · approved 699/770
[st-pre] st0630 … ok photo 8617636 · approved 700/770
[st-pre] st0629 … ok photo 24551876 · approved 701/770
[st-pre] st0628 … ok photo 179908 · approved 702/770
[st-pre] st0627 … ok photo 20107094 · approved 703/770
[st-pre] st0626 … ok photo 12321500 · approved 704/770
[st-pre] st0625 … ok photo 16667202 · approved 705/770
[st-pre] st0624 … ok photo 30618331 · approved 706/770
[st-pre] st0623 … ok photo 6071512 · approved 707/770
[st-pre] st0622 … ok photo 7154760 · approved 708/770
[st-pre] st0621 … ok photo 9951395 · approved 709/770
[st-pre] st0620 … ok photo 20782587 · approved 710/770
[st-pre] st0619 … ok photo 8867242 · approved 711/770
[st-pre] st0618 … ok photo 34485313 · approved 712/770
[st-pre] st0617 … ok photo 15023413 · approved 713/770
[st-pre] st0616 … ok photo 2002217 · approved 714/770
[st-pre] st0615 … ok photo 18434069 · approved 715/770
[st-pre] st0614 … ok photo 32713291 · approved 716/770
[st-pre] st0613 … ok photo 3394662 · approved 717/770
[st-pre] st0612 … ok photo 37935977 · approved 718/770
[st-pre] st0611 … ok photo 7998492 · approved 719/770
[st-pre] st0610 … ok photo 9951394 · approved 720/770
[st-pre] st0609 … ok photo 27858202 · approved 721/770
[st-pre] st0608 … ok photo 8617981 · approved 722/770
[st-pre] st0607 … ok photo 6121966 · approved 723/770
[st-pre] st0606 … ok photo 18889468 · approved 724/770
[st-pre] st0605 … ok photo 8207315 · approved 725/770
[st-pre] st0604 … ok photo 9410233 · approved 726/770
[st-pre] st0603 … ok photo 20728221 · approved 727/770
[st-pre] st0602 … ok photo 8456832 · approved 728/770
[st-pre] st0601 … ok photo 8145576 · approved 729/770
[st-pre] st0600 … ok photo 8617961 · approved 730/770
[st-pre] st0599 … ok photo 14762174 · approved 731/770
[st-pre] st0598 … ok photo 14898664 · approved 732/770
[st-pre] st0597 … ok photo 38240987 · approved 733/770
[st-pre] st0596 … ok photo 36629103 · approved 734/770
[st-pre] st0595 … ok photo 12582984 · approved 735/770
[st-pre] st0594 … ok photo 36629009 · approved 736/770
[st-pre] st0593 … ok photo 8617845 · approved 737/770
[st-pre] st0592 … ok photo 10518848 · approved 738/770
[st-pre] st0591 … ok photo 19198603 · approved 739/770
[st-pre] st0590 … ok photo 9866568 · approved 740/770
[st-pre] st0589 … ok photo 18016846 · approved 741/770
[st-pre] st0588 … ok photo 695953 · approved 742/770
[st-pre] st0587 … ok photo 3215513 · approved 743/770
[st-pre] st0586 … ok photo 8617899 · approved 744/770
[st-pre] st0585 … ok photo 28175346 · approved 745/770
[st-pre] st0584 … ok photo 5518867 · approved 746/770
[st-pre] st0583 … ok photo 38241019 · approved 747/770
[st-pre] st0582 … ok photo 29150799 · approved 748/770
[st-pre] st0581 … ok photo 2479946 · approved 749/770
[st-pre] st0580 … ok photo 11750189 · approved 750/770
[st-pre] st0579 … ok photo 12496017 · approved 751/770
[st-pre] st0578 … ok photo 9890410 · approved 752/770
[st-pre] st0577 … ok photo 30529406 · approved 753/770
[st-pre] st0576 … ok photo 8618062 · approved 754/770
[st-pre] st0575 … ok photo 9655367 · approved 755/770
[st-pre] st0574 … ok photo 17460018 · approved 756/770
[st-pre] st0573 … ok photo 11531808 · approved 757/770
[st-pre] st0572 … ok photo 7640805 · approved 758/770
[st-pre] st0571 … ok photo 36143696 · approved 759/770
[st-pre] st0570 … ok photo 17092404 · approved 760/770
[st-pre] st0569 … ok photo 8520097 · approved 761/770
[st-pre] st0568 … ok photo 14995279 · approved 762/770
[st-pre] st0567 … ok photo 12436198 · approved 763/770
[st-pre] st0566 … ok photo 7695393 · approved 764/770
[st-pre] st0565 … ok photo 6916300 · approved 765/770
[st-pre] st0564 … ok photo 7794018 · approved 766/770
[st-pre] st0563 … ok photo 36343443 · approved 767/770
[st-pre] st0562 … ok photo 32245290 · approved 768/770
[st-pre] st0561 … ok photo 8177853 · approved 769/770
[st-pre] st0560 … ok photo 33985330 · approved 770/770
[st-pre] faces done approved 770 new 211 fail 0
[bank] st0797 … bank 1/320
[bank] st0795 … bank 2/320
[bank] st0796 … bank 3/320
[bank] st0794 … bank 4/320
[bank] st0792 … bank 5/320
[bank] st0793 … bank 6/320
[bank] st0791 … bank 7/320
[bank] st0790 … bank 8/320
[bank] st0789 … bank 9/320
[bank] st0788 … bank 10/320
[bank] st0787 … bank 11/320
[bank] st0786 … bank 12/320
[bank] st0785 … bank 13/320
[bank] st0784 … bank 14/320
[bank] st0783 … bank 15/320
[bank] st0782 … bank 16/320
[bank] st0781 … bank 17/320
[bank] st0780 … bank 18/320
[bank] st0779 … bank 19/320
[bank] st0778 … bank 20/320
[bank] st0777 … bank 21/320
[bank] st0776 … bank 22/320
[bank] st0775 … bank 23/320
[bank] st0773 … bank 24/320
[bank] st0774 … bank 25/320
[bank] st0772 … bank 26/320
[bank] st0771 … bank 27/320
[bank] st0770 … bank 28/320
[bank] st0763 … bank 29/320
[bank] st0762 … bank 30/320
[bank] st0761 … bank 31/320
[bank] st0760 … bank 32/320
[bank] st0758 … bank 33/320
[bank] st0757 … bank 34/320
[bank] st0756 … bank 35/320
[bank] st0755 … bank 36/320
[bank] st0753 … bank 37/320
[bank] st0752 … bank 38/320
[bank] st0751 … bank 39/320
[bank] st0750 … bank 40/320
[bank] st0749 … bank 41/320
[bank] st0748 … bank 42/320
[bank] st0746 … bank 43/320
[bank] st0745 … bank 44/320
[bank] st0743 … bank 45/320
[bank] st0742 … bank 46/320
[bank] st0741 … bank 47/320
[bank] st0740 … bank 48/320
[bank] st0739 … bank 49/320
[bank] st0738 … bank 50/320
[bank] st0737 … bank 51/320
[bank] st0734 … bank 52/320
[bank] st0733 … bank 53/320
[bank] st0732 … bank 54/320
[bank] st0730 … bank 55/320
[bank] st0729 … bank 56/320
[bank] st0728 … bank 57/320
[bank] st0727 … bank 58/320
[bank] st0726 … bank 59/320
[bank] st0725 … bank 60/320
[bank] st0722 … bank 61/320
[bank] st0719 … bank 62/320
[bank] st0718 … bank 63/320
[bank] st0717 … bank 64/320
[bank] st0716 … bank 65/320
[bank] st0715 … bank 66/320
[bank] st0714 … bank 67/320
[bank] st0713 … bank 68/320
[bank] st0712 … bank 69/320
[bank] st0710 … bank 70/320
[bank] st0707 … bank 71/320
[bank] st0706 … bank 72/320
[bank] st0705 … bank 73/320
[bank] st0704 … bank 74/320
[bank] st0703 … bank 75/320
[bank] st0702 … bank 76/320
[bank] st0700 … bank 77/320
[bank] st0699 … bank 78/320
[bank] st0698 … bank 79/320
[bank] st0697 … bank 80/320
[bank] st0696 … bank 81/320
[bank] st0695 … bank 82/320
[bank] st0694 … bank 83/320
[bank] st0693 … bank 84/320
[bank] st0692 … bank 85/320
[bank] st0691 … bank 86/320
[bank] st0690 … bank 87/320
[bank] st0688 … bank 88/320
[bank] st0687 … bank 89/320
[bank] st0686 … bank 90/320
[bank] st0685 … bank 91/320
[bank] st0684 … bank 92/320
[bank] st0683 … bank 93/320
[bank] st0682 … bank 94/320
[bank] st0681 … bank 95/320
[bank] st0680 … bank 96/320
[bank] st0679 … bank 97/320
[bank] st0677 … bank 98/320
[bank] st0676 … bank 99/320
[bank] st0674 … bank 100/320
[bank] st0673 … bank 101/320
[bank] st0672 … bank 102/320
[bank] st0671 … bank 103/320
[bank] st0670 … bank 104/320
[bank] st0669 … bank 105/320
[bank] st0668 … bank 106/320
[bank] st0667 … bank 107/320
[bank] st0666 … bank 108/320
[bank] st0665 … bank 109/320
[bank] st0664 … bank 110/320
[bank] st0662 … bank 111/320
[bank] st0661 … bank 112/320
[bank] st0660 … bank 113/320
[bank] st0659 … bank 114/320
[bank] st0658 … bank 115/320
[bank] st0657 … bank 116/320
[bank] st0656 … bank 117/320
[bank] st0655 … bank 118/320
[bank] st0654 … bank 119/320
[bank] st0653 … bank 120/320
[bank] st0651 … bank 121/320
[bank] st0649 … bank 122/320
[bank] st0648 … bank 123/320
[bank] st0647 … bank 124/320
[bank] st0646 … bank 125/320
[bank] st0645 … bank 126/320
[bank] st0644 … bank 127/320
[bank] st0643 … bank 128/320
[bank] st0642 … bank 129/320
[bank] st0641 … bank 130/320
[bank] st0640 … bank 131/320
[bank] st0639 … bank 132/320
[bank] st0638 … bank 133/320
[bank] st0637 … bank 134/320
[bank] st0636 … bank 135/320
[bank] st0635 … bank 136/320
[bank] st0634 … bank 137/320
[bank] st0633 … bank 138/320
[bank] st0632 … bank 139/320
[bank] st0631 … bank 140/320
[bank] st0630 … bank 141/320
[bank] st0629 … bank 142/320
[bank] st0628 … bank 143/320
[bank] st0627 … bank 144/320
[bank] st0626 … bank 145/320
[bank] st0625 … bank 146/320
[bank] st0624 … bank 147/320
[bank] st0623 … bank 148/320
[bank] st0622 … bank 149/320
[bank] st0621 … bank 150/320
[bank] st0620 … bank 151/320
[bank] st0619 … bank 152/320
[bank] st0618 … bank 153/320
[bank] st0617 … bank 154/320
[bank] st0616 … bank 155/320
[bank] st0615 … bank 156/320
[bank] st0614 … bank 157/320
[bank] st0613 … bank 158/320
[bank] st0612 … bank 159/320
[bank] st0611 … bank 160/320
[bank] st0610 … bank 161/320
[bank] st0609 … bank 162/320
[bank] st0608 … bank 163/320
[bank] st0607 … bank 164/320
[bank] st0606 … bank 165/320
[bank] st0605 … bank 166/320
[bank] st0604 … bank 167/320
[bank] st0603 … bank 168/320
[bank] st0602 … bank 169/320
[bank] st0601 … bank 170/320
[bank] st0600 … bank 171/320
[bank] st0599 … bank 172/320
[bank] st0598 … bank 173/320
[bank] st0597 … bank 174/320
[bank] st0596 … bank 175/320
[bank] st0595 … bank 176/320
[bank] st0594 … bank 177/320
[bank] st0593 … bank 178/320
[bank] st0592 … bank 179/320
[bank] st0591 … bank 180/320
[bank] st0590 … bank 181/320
[bank] st0589 … bank 182/320
[bank] st0588 … bank 183/320
[bank] st0587 … bank 184/320
[bank] st0586 … bank 185/320
[bank] st0585 … bank 186/320
[bank] st0584 … bank 187/320
[bank] st0583 … bank 188/320
[bank] st0582 … bank 189/320
[bank] st0581 … bank 190/320
[bank] st0580 … bank 191/320
[bank] st0579 … bank 192/320
[bank] st0578 … bank 193/320
[bank] st0577 … bank 194/320
[bank] st0576 … bank 195/320
[bank] st0575 … bank 196/320
[bank] st0574 … bank 197/320
[bank] st0573 … bank 198/320
[bank] st0572 … bank 199/320
[bank] st0571 … bank 200/320
[bank] st0570 … bank 201/320
[bank] st0569 … bank 202/320
[bank] st0568 … bank 203/320
[bank] st0567 … bank 204/320
[bank] st0566 … bank 205/320
[bank] st0565 … bank 206/320
[bank] st0564 … bank 207/320
[bank] st0563 … bank 208/320
[bank] st0562 … bank 209/320
[bank] st0561 … bank 210/320
[bank] st0560 … bank 211/320
[bank] st0559 … bank 212/320
[bank] st0558 … bank 213/320
[bank] st0557 … bank 214/320
[bank] st0556 … bank 215/320
[bank] st0555 … bank 216/320
[bank] st0554 … bank 217/320
[bank] st0553 … bank 218/320
[bank] st0552 … bank 219/320
[bank] st0551 … bank 220/320
[bank] st0550 … bank 221/320
[bank] st0549 … bank 222/320
[bank] st0548 … bank 223/320
[bank] st0547 … bank 224/320
[bank] st0546 … bank 225/320
[bank] st0545 … bank 226/320
[bank] st0544 … bank 227/320
[bank] st0543 … bank 228/320
[bank] st0542 … bank 229/320
[bank] st0541 … bank 230/320
[bank] st0540 … bank 231/320
[bank] st0539 … bank 232/320
[bank] st0538 … bank 233/320
[bank] st0537 … bank 234/320
[bank] st0536 … bank 235/320
[bank] st0535 … bank 236/320
[bank] st0534 … bank 237/320
[bank] st0533 … bank 238/320
[bank] st0532 … bank 239/320
[bank] st0531 … bank 240/320
[bank] st0530 … bank 241/320
[bank] st0529 … bank 242/320
[bank] st0528 … bank 243/320
[bank] st0527 … bank 244/320
[bank] st0526 … bank 245/320
[bank] st0525 … bank 246/320
[bank] st0524 … bank 247/320
[bank] st0523 … bank 248/320
[bank] st0522 … bank 249/320
[bank] st0521 … bank 250/320
[bank] st0520 … bank 251/320
[bank] st0519 … bank 252/320
[bank] st0518 … bank 253/320
[bank] st0517 … bank 254/320
[bank] st0516 … bank 255/320
[bank] st0515 … bank 256/320
[bank] st0514 … bank 257/320
[bank] st0513 … bank 258/320
[bank] st0512 … bank 259/320
[bank] st0511 … bank 260/320
[bank] st0510 … bank 261/320
[bank] st0509 … bank 262/320
[bank] st0508 … bank 263/320
[bank] st0507 … bank 264/320
[bank] st0506 … bank 265/320
[bank] st0505 … bank 266/320
[bank] st0504 … bank 267/320
[bank] st0503 … bank 268/320
[bank] st0502 … bank 269/320
[bank] st0501 … bank 270/320
[bank] st0500 … bank 271/320
[bank] st0499 … bank 272/320
[bank] st498 … bank 273/320
[bank] st497 … bank 274/320
[bank] st496 … bank 275/320
[bank] st495 … bank 276/320
[bank] st494 … bank 277/320
[bank] st493 … bank 278/320
[bank] st492 … bank 279/320
[bank] st491 … bank 280/320
[bank] st490 … bank 281/320
[bank] st489 … bank 282/320
[bank] st488 … bank 283/320
[bank] st487 … bank 284/320
[bank] st0486 … bank 285/320
[bank] st485 … bank 286/320
[bank] st484 … bank 287/320
[bank] st483 … bank 288/320
[bank] st482 … bank 289/320
[bank] st0481 … bank 290/320
[bank] st0480 … bank 291/320
[bank] st0479 … bank 292/320
[bank] st0478 … bank 293/320
[bank] st0477 … bank 294/320
[bank] st0476 … bank 295/320
[bank] st0475 … bank 296/320
[bank] st0474 … bank 297/320
[bank] st0473 … bank 298/320
[bank] st0472 … bank 299/320
[bank] st0471 … bank 300/320
[bank] st0470 … bank 301/320
[bank] st0469 … bank 302/320
[bank] st0468 … bank 303/320
[bank] st0467 … bank 304/320
[bank] st0466 … bank 305/320
[bank] st0465 … bank 306/320
[bank] st0464 … bank 307/320
[bank] st0463 … bank 308/320
[bank] st0462 … bank 309/320
[bank] st0460 … bank 310/320
[bank] st0461 … bank 311/320
[bank] st0459 … bank 312/320
[bank] st0458 … bank 313/320
[bank] st0457 … bank 314/320
[bank] st0456 … bank 315/320
[bank] st0454 … bank 316/320
[bank] st0455 … bank 317/320
[bank] st0453 … bank 318/320
[bank] st0452 … bank 319/320
[bank] st0450 … bank 320/320
[st-pre] index stamped 770
[st-pre] DONE approved 770 bank 320
